image_id,healthy,damaged_fungi,damaged_pests,nutrition_wilted,nutrition_dry
Train_0,0,1,0,0,0
Train_1,0,1,0,0,0
Train_2,0,1,0,0,0
Train_3,0,1,0,0,0
Train_4,0,1,0,0,0
Train_5,0,1,0,0,0
Train_6,0,1,0,0,0
Train_7,0,1,0,0,0
Train_8,0,1,0,0,0
Train_9,0,1,0,0,0
Train_10,0,1,0,0,0
Train_11,0,1,0,0,0
Train_12,0,1,0,0,0
Train_13,0,1,0,0,0
Train_14,0,0,1,0,0
Train_15,0,0,1,0,0
Train_16,0,0,1,0,0
Train_17,0,0,1,0,0
Train_18,0,0,1,0,0
Train_19,0,0,1,0,0
Train_20,0,0,1,0,0
Train_21,0,0,1,0,0
Train_22,0,0,1,0,0
Train_23,0,0,1,0,0
Train_24,0,0,0,1,0
Train_25,0,0,0,1,0
Train_26,0,0,0,1,0
Train_27,0,0,0,1,0
Train_28,0,0,0,1,0
Train_29,0,0,0,1,0
Train_30,0,0,0,1,0
Train_31,0,0,0,1,0
Train_32,0,0,0,1,0
Train_33,0,0,0,1,0
Train_34,0,0,0,1,0
Train_35,0,0,0,1,0
Train_36,0,0,0,1,0
Train_37,0,0,0,0,1
Train_38,0,0,0,0,1
Train_39,0,0,0,0,1
Train_40,0,0,0,0,1
Train_41,0,0,0,0,1
Train_42,0,0,0,0,1
Train_43,0,0,0,0,1
Train_44,0,0,0,0,1
Train_45,0,0,0,0,1
Train_46,0,0,0,0,1
Train_47,0,0,0,0,1
